tokens,labels
"['Summary', 'Companies', 'Lawsuit', 'claims', 'Noem', 'hostile', 'to', 'nonwhite', 'immigrants', 'Judge', 'says', 'that', 'claim', ""'seems"", 'substantially', ""likely'"", 'Protected', 'status', 'would', 'have', 'ended', 'on', 'Wednesday', 'Feb', '2', '(', 'Reuters', ')', 'A', 'federal', 'judge', 'on', 'Monday', 'blocked', 'the', 'Trump', 'administration', 'from', 'revoking', 'legal', 'protections', 'for', 'more', 'than', '350', ',', '000', 'Haitians', 'in', 'the', 'U', '.', 'S', '.', ',', 'preventing', 'their', 'potential', 'deportation', 'to', 'a', 'country', 'that', 'has', 'been', 'ravaged', 'by', 'gang', 'violence', '.']","['O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'B-NORP', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['U', '.', 'S', '.', 'District', 'Judge', 'Ana', 'Reyes', 'in', 'Washington', ',', 'D', '.', 'C', '.', ',', 'halted', ',', 'opens', 'new', 'tab', 'the', 'U', '.', 'S', '.', 'Department', 'of', 'Homeland', ""Security's"", 'effort', 'to', 'terminate', ""Haiti's"", 'Temporary', 'Protected', 'Status', '.']","['B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-GPE', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O']"
"['The', 'move', 'would', 'have', 'taken', 'effect', 'on', 'Wednesday', 'despite', 'spiraling', 'violence', 'there', 'that', 'has', 'displaced', 'more', 'than', '1', '.', '4', 'million', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'O', 'O']"
"['Reyes', ',', 'who', 'was', 'appointed', 'by', 'Democratic', 'former', 'President', 'Joe', 'Biden', ',', 'issued', 'the', 'ruling', 'in', 'a', 'class', 'action', 'lawsuit', 'brought', 'by', 'Haitians', 'seeking', 'to', 'stop', 'the', 'administration', 'from', 'exposing', 'them', 'to', 'deportation', 'by', 'ending', 'their', 'legal', 'status', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Reyes', 'said', 'in', 'the', 'ruling', 'that', 'Homeland', 'Security', 'Secretary', 'Kristi', 'Noem', 'likely', 'violated', 'the', 'procedures', 'required', 'to', 'terminate', 'the', 'protected', 'status', 'of', 'Haitian', 'immigrants', 'in', 'the', 'U', '.', 'S', '.', 'as', 'well', 'as', 'the', 'U', '.', 'S', '.', ""Constitution's"", 'Fifth', 'Amendment', 'guarantee', 'of', 'equal', 'protection', 'under', 'the', 'law', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'B-WORK_OF_ART', 'B-ORDINAL', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'Plaintiffs', 'charge', 'that', 'Secretary', 'Noem', 'preordained', 'her', 'termination', 'decision', 'and', 'did', 'so', 'because', 'of', 'hostility', 'to', 'nonwhite', 'immigrants', '.']","['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O']"
"['The', 'law', 'firm', 'representing', 'the', 'plaintiffs', ',', 'Bryan', 'Cave', 'Leighton', 'Paisner', ',', 'praised', 'the', 'ruling', ',', 'noting', 'that', 'Haiti', 'remains', 'extremely', 'dangerous', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O']"
"['""', 'This', 'ruling', 'recognizes', 'the', 'grave', 'risks', 'Haitian', 'TPS', 'holders', 'would', 'face', 'if', 'forced', 'to', 'return', ',', 'and', 'it', 'ensures', 'that', 'they', 'can', 'remain', 'here', 'in', 'the', 'United', 'States', 'as', 'legislated', 'by', 'Congress', 'to', 'continue', 'their', 'lives', ',', 'contributing', 'to', 'their', 'communities', ',', 'and', 'supporting', 'their', 'families', ',', '""', 'the', 'firm', 'said', 'in', 'a', 'statement', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['TPS', 'is', 'available', 'to', 'people', 'whose', 'home', 'country', 'has', 'experienced', 'a', 'natural', 'disaster', ',', 'armed', 'conflict', 'or', 'other', 'extraordinary', 'event', '.']","['B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'provides', 'eligible', 'migrants', 'with', 'work', 'authorization', 'and', 'temporary', 'protection', 'from', 'deportation', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'Department', 'of', 'Homeland', 'Security', 'has', 'moved', 'to', 'end', 'the', 'status', 'for', 'about', 'a', 'dozen', 'countries', 'as', 'part', 'of', 'President', 'Donald', ""Trump's"", 'crackdown', 'on', 'immigration', ',', 'saying', 'TPS', 'was', 'always', 'meant', 'to', 'be', 'temporary', 'and', 'not', 'a', '""', 'de', 'facto', 'amnesty', 'program', '.', '""']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Department', 'spokesperson', 'Tricia', 'McLaughlin', 'indicated', 'in', 'a', 'social', 'media', 'post', 'that', 'the', 'ruling', 'would', 'be', 'appealed', '.']","['O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', ""Haiti's"", 'TPS', 'was', 'granted', 'following', 'an', 'earthquake', 'that', 'took', 'place', 'over', '15', 'years', 'ago', ',', 'it', 'was', 'never', 'intended', 'to', 'be', 'a', 'de', 'facto', 'amnesty', 'program', ',', 'yet', 'that', 's', 'how', 'previous', 'administrations', 'have', 'used', 'it', 'for', 'decades', '.']","['O', 'B-GPE', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Temporary', 'means', 'temporary', 'and', 'the', 'final', 'word', 'will', 'not', 'be', 'from', 'an', 'activist', 'judge', 'legislating', 'from', 'the', 'bench', ',', '""', 'McLaughlin', 'said', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']"
"['Haitians', 'were', 'first', 'given', 'TPS', 'in', '2010', ',', 'after', 'a', 'devastating', '7', '.', '0', 'magnitude', 'earthquake', 'struck', 'their', 'country', '.']","['B-NORP', 'O', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O']"
"['The', 'U', '.', 'S', '.', 'has', 'repeatedly', 'extended', 'the', 'status', ',', 'most', 'recently', 'under', 'the', 'Biden', 'administration', 'in', 'July', '2024', '.']","['O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O']"
"['The', 'department', 'at', 'that', 'time', 'extended', 'TPS', 'for', 'another', '18', 'months', 'through', 'February', '3', ',', '2026', ',', 'citing', '""', 'simultaneous', 'economic', ',', 'security', ',', 'political', ',', 'and', 'health', 'crises', '""', 'in', 'Haiti', ',', 'fueled', 'by', 'gangs', 'and', 'a', 'lack', 'of', 'a', 'functioning', 'government', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'B-DATE', 'I-DATE', 'O', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Shortly', 'after', 'Trump', 'took', 'office', ',', 'his', 'administration', 'tried', 'to', 'curtail', 'those', 'humanitarian', 'protections', 'for', 'Haitians', 'in', 'February', '2025', ',', 'when', 'Noem', 'moved', 'to', 'truncate', 'the', 'Biden', 'era', 'extension', 'so', 'it', 'would', 'expire', 'in', 'August', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O']"
"['After', 'a', 'federal', 'judge', 'in', 'New', 'York', 'in', 'July', 'ruled', 'Noem', 'lacked', 'statutory', 'authority', 'to', 'do', 'so', ',', 'her', 'department', 'in', 'November', 'moved', 'to', 'terminate', ""Haiti's"", 'TPS', 'status', ',', 'saying', 'there', 'were', '""', 'no', 'extraordinary', 'and', 'temporary', 'conditions', '""', 'in', 'the', 'country', 'that', 'would', 'prevent', 'migrants', 'from', 'returning', '.']","['O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'B-GPE', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['UNICEF', 'estimated', 'in', 'October', 'that', 'over', '6', 'million', 'people', 'more', 'than', 'half', 'the', 'population', ',', 'including', '3', '.', '3', 'million', 'children', 'need', 'humanitarian', 'assistance', '.']","['B-ORG', 'O', 'O', 'B-DATE', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'I-QUANTITY', 'O', 'O', 'O', 'O', 'O']"
"['Summary', 'House', 'Oversight', 'Committee', 'recommended', 'last', 'week', 'that', 'Clintons', 'be', 'held', 'in', 'contempt', 'Bill', 'and', 'Hillary', 'Clinton', 'have', 'said', 'congressional', 'probe', 'is', 'partisan', 'US', 'DOJ', 'recently', 'released', 'millions', 'of', 'documents', 'related', 'to', 'Epstein', 'Feb', '2', '(', 'Reuters', ')', 'Former', 'U', '.', 'S', '.', 'President', 'Bill', 'Clinton', 'and', 'Hillary', 'Clinton', ',', 'the', '2016', 'Democratic', 'presidential', 'nominee', ',', 'will', 'testify', 'in', 'a', 'congressional', 'investigation', 'into', 'the', 'late', 'sex', 'offender', 'Jeffrey', 'Epstein', ',', 'a', 'staffer', 'said', 'on', 'Monday', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-ORG', 'O', 'O', 'B-QUANTITY', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-DATE', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O']"
"['The', 'decision', 'could', 'head', 'off', 'a', 'planned', 'vote', 'in', 'the', 'Republican', 'led', 'House', 'of', 'Representatives', 'to', 'hold', 'the', 'two', 'prominent', 'Democrats', 'in', 'contempt', ',', 'which', 'could', 'lead', 'to', 'criminal', 'charges', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'U', '.', 'S', '.', 'Justice', ""Department's"", 'recent', 'release', 'of', 'millions', 'of', 'internal', 'documents', 'related', 'to', 'Epstein', 'has', 'revealed', 'the', 'late', 'financier', 'and', 'sex', ""offender's"", 'ties', 'to', 'many', 'prominent', 'people', 'in', 'politics', ',', 'finance', ',', 'academia', 'and', 'business', 'both', 'before', 'and', 'after', 'he', 'pleaded', 'guilty', 'in', '2008', 'to', 'prostitution', 'charges', '.']","['O', 'B-GPE', 'I-GPE', 'I-GPE', 'I-GPE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'B-QUANTITY', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O']"
"['Asked', 'if', 'the', 'House', 'would', 'hold', 'up', 'its', 'contempt', 'votes', 'against', 'the', 'Clintons', ',', 'House', 'Speaker', 'Mike', 'Johnson', 'told', 'Reuters', ':', '""', ""They're"", 'working', 'on', 'that', 'right', 'now', '.']","['O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Johnson', 'earlier', 'welcomed', 'the', 'news', 'of', 'the', 'former', 'president', 'and', 'the', 'former', 'secretary', 'of', 'state', 'agreeing', 'to', 'testify', '.']","['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'House', 'Oversight', 'Committee', 'recommended', 'last', 'week', 'that', 'the', 'Clintons', 'be', 'held', 'in', 'contempt', 'for', 'refusing', 'to', 'testify', 'about', 'their', 'relationship', 'with', 'Epstein', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O']"
"['The', 'Clintons', 'had', 'offered', 'to', 'cooperate', 'with', 'the', 'panel', 'but', 'had', 'refused', 'to', 'appear', 'in', 'person', ',', 'saying', 'the', 'investigation', 'was', 'a', 'partisan', 'exercise', 'aimed', 'at', 'protecting', 'Republican', 'President', 'Donald', 'Trump', '.']","['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'O', 'B-PERSON', 'I-PERSON', 'O']"
"['They', 'look', 'forward', 'to', 'setting', 'a', 'precedent', 'that', 'applies', 'to', 'everyone', ',', '""', 'the', ""Clintons'"", 'deputy', 'chief', 'of', 'staff', ',', 'Angel', 'Urena', ',', 'said', 'on', 'social', 'media', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Bill', 'Clinton', 'flew', 'on', ""Epstein's"", 'plane', 'several', 'times', 'in', 'the', 'early', '2000s', 'after', 'leaving', 'office', '.']","['B-PERSON', 'I-PERSON', 'O', 'O', 'B-FAC', 'I-FAC', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'O', 'O', 'O']"
"['He', 'has', 'expressed', 'regret', 'about', 'the', 'relationship', 'and', 'said', 'he', 'knew', 'nothing', 'about', ""Epstein's"", 'criminal', 'activity', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O']"
"['Republican', 'U', '.', 'S', '.', 'Representative', 'James', 'Comer', ',', 'who', 'chairs', 'the', 'House', 'Oversight', 'Committee', ',', 'said', 'on', 'Monday', 'the', 'Clintons', 'have', 'not', 'given', 'a', 'date', 'for', 'their', 'depositions', 'and', 'that', 'he', 'will', 'discuss', 'next', 'steps', 'with', 'panel', 'members', '.']","['B-NORP', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-DATE', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'The', ""Clintons'"", 'counsel', 'has', 'said', 'they', 'agree', 'to', 'terms', ',', 'but', 'those', 'terms', 'lack', 'clarity', 'yet', 'again', 'and', 'they', 'have', 'provided', 'no', 'dates', 'for', 'their', 'depositions', ',', '""', 'Comer', 'said', '.']","['O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O']"
"['""', 'I', 'will', 'clarify', 'the', 'terms', 'they', 'are', 'agreeing', 'to', 'and', 'then', 'discuss', 'next', 'steps', 'with', 'my', 'committee', 'members', '.', '""']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['His', 'past', 'breaking', 'news', 'coverage', 'has', 'spanned', 'across', 'a', 'range', 'of', 'topics', 'like', 'the', 'Black', 'Lives', 'Matter', 'movement', ';', 'the', 'US', 'elections', ';', 'the', '2021', 'Capitol', 'riots', 'and', 'their', 'follow', 'up', 'probes', ';', 'the', 'Brexit', 'deal', ';', 'US', 'China', 'trade', 'tensions', ';', 'the', 'NATO', 'withdrawal', 'from', 'Afghanistan', ';', 'the', 'COVID', '19', 'pandemic', ';', 'and', 'a', '2019', 'Supreme', 'Court', 'verdict', 'on', 'a', 'religious', 'dispute', 'site', 'in', 'his', 'native', 'India', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-DATE', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-GPE', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O']"
"['Summary', 'Companies', 'The', 'deal', 'is', 'the', 'biggest', 'M', 'A', 'transaction', 'of', 'all', 'time', 'Deal', 'values', 'xAI', 'at', '250', 'billion', ',', 'SpaceX', 'at', '1', 'trillion', 'Merger', 'consolidates', 'Musk', 's', 'empire', 'ahead', 'of', 'SpaceX', 'IPO', 'Feb', '2', '(', 'Reuters', ')', 'Elon', 'Musk', 'said', 'on', 'Monday', 'that', 'SpaceX', 'has', 'acquired', 'his', 'artificial', 'intelligence', 'startup', 'xAI', 'in', 'a', 'record', 'setting', 'deal', 'that', 'unifies', ""Musk's"", 'AI', 'and', 'space', 'ambitions', 'by', 'combining', 'the', 'rocket', 'and', 'satellite', 'company', 'with', 'the', 'maker', 'of', 'the', 'Grok', 'chatbot', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-MONEY', 'I-MONEY', 'O', 'B-ORG', 'O', 'B-MONEY', 'I-MONEY', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'I-DATE', 'O', 'B-ORG', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['The', 'deal', ',', 'first', 'reported', 'by', 'Reuters', 'last', 'week', ',', 'represents', 'one', 'of', 'the', 'most', 'ambitious', 'tie', 'ups', 'in', 'the', 'technology', 'sector', 'yet', ',', 'combining', 'a', 'space', 'and', 'defense', 'contractor', 'with', 'a', 'fast', 'growing', 'AI', 'developer', 'whose', 'costs', 'are', 'largely', 'driven', 'by', 'chips', ',', 'data', 'centers', 'and', 'energy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
